REP,GENO,LOC,PROT,BC,FE,ZN,CA,MG,STAR,FRUC,GLUC,SUCR,MALT,DM,VW,NOPS,NOCR,NONC,CRW,NCRW,RYTHA,TRW,BIOM,HI,CI,FYTHA,CYTHA
1,3911,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3911,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6451,Satipo,4.515934,0,1.3767691,0.9042296,86.2774658,75.0657196,71.3818207,2.5166407,4.4506202,3.9565606,0.1020536,41.34366925,1.27,2,5,0,1.74,0,25.752,1.74,3.01,57.80730897,100,18.796,25.752
1,6451,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3,0,2,0,0.06,0.888,0.06,1.46,4.109589041,0,20.72,0
1,6452,La Molina,5.6911602,0,1.4481645,1.3338399,100.7792969,89.5478516,70.0256119,1.3392,3.3887248,6.0022202,0.0219851,29.75,0.94,3,1,1,0.74,0.19,13.764,0.93,1.87,49.73262032,79.56989247,13.912,10.952
1,6452,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,3,4,4,0.97,0.19,17.168,1.16,3.04,38.15789474,83.62068966,27.824,14.356
1,6453,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,2,4,0,1.17,0,17.316,1.17,5.07,23.07692308,100,57.72,17.316
1,6453,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,3,0,0,0,0,0,0,1.14,0,NA,16.872,0
1,6454,Satipo,5.5676804,261.90567,1.8022809,1.058217,118.1633301,91.5542297,56.6665878,4.6115046,7.2220206,10.8162994,0.7087479,31.18811881,7.37,2,5,5,2.96,0.25,47.508,3.21,10.58,30.34026465,92.21183801,109.076,43.808
1,6454,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,3,0,2,0,0.14,2.072,0.14,0.96,14.58333333,0,12.136,0
1,6455,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,3,9,9,0.98,0.29,18.796,1.27,3.51,36.18233618,77.16535433,33.152,14.504
1,6455,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,3,0,0,0,0,0,0,2.97,0,NA,43.956,0
1,6456,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.35,3,5,5,0.97,0.28,18.5,1.25,6.6,18.93939394,77.6,79.18,14.356
1,6456,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,3,0,0,0,0,0,0,1.42,0,NA,21.016,0
1,6457,La Molina,7.1326895,15.276489,1.6047945,1.6242523,251.7285156,122.7922211,71.2579956,0.5759783,2.7869205,5.8981066,0,34.32098765,1.86,3,1,1,0.24,0.1,5.032,0.34,2.2,15.45454545,70.58823529,27.528,3.552
